"TrialNum","Onset","TrueOns","Cond","Sentence","Resp","RT","correct","subind","runnum","cond_type","first","correct_first","group_num"
21,247.77,247.79,2,"The pillow jumped at a bear.","nonsense",5.01011490822,1,"0_013","1","active_ns",1,1,1
22,257.97,257.97,3,"A pig was scared by a fox.","sense",5.42708206177,1,"0_013","1","passive_s",1,1,1
23,268.09,268.09,3,"A wall was marked with paint.","sense",6.35741400719,1,"0_013","1","passive_s",1,1,1
24,280.16,280.17,1,"The cattle listened to the bell.","sense",7.56732201576,1,"0_013","1","active_s",1,1,1
25,296.87,296.89,4,"The phone was boiled by a rat.","nonsense",4.71610212326,1,"0_013","1","passive_ns",1,1,1
26,312.85,312.86,2,"A ring prepared for a potato.","nonsense",7.74053192139,1,"0_013","1","active_ns",1,1,1
27,330.61,330.62,4,"Mud was dressed by air.","nonsense",4.93859410286,1,"0_013","1","passive_ns",1,1,1
28,343.48,343.49,1,"The baby rolled in the crib.","sense",3.10002017021,1,"0_013","1","active_s",1,1,1
29,360.32,360.33,4,"Dirt was borrowed by the chalk.","nonsense",6.51129698753,1,"0_013","1","passive_ns",1,1,1
30,370.6,370.62,2,"A plate stained a kitten.",NA,NA,4,"0_013","1","active_ns",1,0,1
31,381.02,381.02,4,"The hill was addressed by soap.","nonsense",5.18500804901,1,"0_013","1","passive_ns",1,1,1
0,0,0.03,1,"The child peeled the banana.","nonsense",3.59366202354,0,"0_013","2","active_s",1,0,1
1,10.16,10.17,2,"The store cooked on the grass.","nonsense",3.54664206505,1,"0_013","2","active_ns",1,1,1
2,25.97,25.98,3,"Pie was made by a cousin.","sense",4.87942290306,1,"0_013","2","passive_s",1,1,1
3,40.97,40.98,3,"A fence was jumped by a horse.","sense",6.14373207092,1,"0_013","2","passive_s",1,1,1
4,53.69,53.71,2,"The rabbit bought the worker.","nonsense",3.28615903854,1,"0_013","2","active_ns",1,1,1
5,64.57,64.58,3,"A joke was told by the queen.","sense",5.23651599884,1,"0_013","2","passive_s",1,1,1
6,75.24,75.25,4,"The woman was pulled by a nut.","sense",5.20866107941,0,"0_013","2","passive_ns",1,0,1
7,86.91,86.92,1,"A mom addressed the letter.","sense",3.86827516556,1,"0_013","2","active_s",1,1,1
8,103.03,103.04,2,"The soup hired a cowboy.","nonsense",4.16968297958,1,"0_013","2","active_ns",1,1,1
9,118.89,118.9,4,"Iron was chased by the bee.","sense",5.28048801422,0,"0_013","2","passive_ns",1,0,1
10,128.92,128.94,1,"The bear tasted the apple.","nonsense",5.32439899445,0,"0_013","2","active_s",1,0,1
11,141.14,141.16,3,"The ring was owned by a dancer.","nonsense",6.73715019226,0,"0_013","2","passive_s",1,0,1
12,151.22,151.23,3,"The book was read by a friend.","sense",5.7586350441,1,"0_013","2","passive_s",1,1,1
13,161.68,161.68,4,"Sugar was moved by the sock.","sense",5.68170714378,0,"0_013","2","passive_ns",1,0,1
14,172.84,172.85,2,"A chicken shopped at a movie.","nonsense",5.48067116737,1,"0_013","2","active_ns",1,1,1
15,183.02,183.03,3,"Clay was rolled by the artist.","sense",7.92416715622,1,"0_013","2","passive_s",1,1,1
16,195.2,195.21,4,"A ball was prepared by glass.","nonsense",3.4961400032,1,"0_013","2","passive_ns",1,1,1
17,212.76,212.77,2,"The money counted the singer.","nonsense",4.19352912903,1,"0_013","2","active_ns",1,1,1
18,223.41,223.43,1,"A nurse helped a student.","sense",4.38434505463,1,"0_013","2","active_s",1,1,1
19,237.03,237.05,4,"A wolf was found by a fan.","nonsense",4.89950203896,1,"0_013","2","passive_ns",1,1,1
20,248.04,248.05,1,"The aunt walked on the boat.","sense",5.40430402756,1,"0_013","2","active_s",1,1,1
21,258.46,258.47,3,"Meat was eaten by a lion.","sense",7.82369995117,1,"0_013","2","passive_s",1,1,1
22,274.9,274.91,1,"A driver honked at the walker.","nonsense",5.43601703644,0,"0_013","2","active_s",1,0,1
23,289.51,289.52,4,"The mouse was graded by a flag.","nonsense",4.61529707909,1,"0_013","2","passive_ns",1,1,1
24,303.52,303.53,2,"The puppy scored a dress.","nonsense",4.80496692657,1,"0_013","2","active_ns",1,1,1
25,319.75,319.77,1,"A tree was planted in dirt.","sense",4.70463895798,1,"0_013","2","active_s",1,1,1
26,329.89,329.9,1,"A family baked some bread.","sense",3.43934011459,1,"0_013","2","active_s",1,1,1
27,343.4,343.41,4,"The mat was raced by a fox.","nonsense",5.97524905205,1,"0_013","2","passive_ns",1,1,1
28,353.98,354,2,"A candle sold the question.","nonsense",4.64999890327,1,"0_013","2","active_ns",1,1,1
29,370.82,370.84,3,"The spoon was waved by a cook.","sense",6.33708715439,1,"0_013","2","passive_s",1,1,1
30,382.44,382.46,4,"A card was scared by a baby.",NA,NA,4,"0_013","2","passive_ns",1,0,1
31,392.48,392.5,2,"The fork called to a sister.",NA,NA,4,"0_013","2","active_ns",1,0,1
0,0,0.03,2,"The house chewed on the phone.","nonsense",3.61535191536,1,"0_013","3","active_ns",1,1,1
1,10.72,10.74,3,"The door was shut by wind.","sense",2.64405012131,1,"0_013","3","passive_s",1,1,1
2,21.39,21.41,4,"A father was spotted by the egg.","sense",5.65161395073,0,"0_013","3","passive_ns",1,0,1
3,38.56,38.57,1,"The clerk asked a question.","nonsense",4.8249309063,0,"0_013","3","active_s",1,0,1
4,54.45,54.46,4,"The actor was kicked by cake.","nonsense",6.58565402031,1,"0_013","3","passive_ns",1,1,1
5,64.83,64.84,1,"A king wished for a horse.","nonsense",7.60428595543,0,"0_013","3","active_s",1,0,1
6,80.32,80.33,4,"The bird was told by the boat.","nonsense",3.68397212029,1,"0_013","3","passive_ns",1,1,1
7,90.96,90.97,2,"A rope listened to the salt.","nonsense",5.59388709068,1,"0_013","3","active_ns",1,1,1
8,106.1,106.11,2,"The tiger played a letter.","nonsense",3.11243915558,1,"0_013","3","active_ns",1,1,1
9,116.71,116.72,1,"The mother shopped at the store.","sense",6.12844085693,1,"0_013","3","active_s",1,1,1
10,131.58,131.59,1,"A sister hugged the dancer.","sense",4.25018191338,1,"0_013","3","active_s",1,1,1
11,143.41,143.43,4,"Meat was watched by an ear.","nonsense",4.78328609467,1,"0_013","3","passive_ns",1,1,1
12,154.13,154.15,4,"A worm was jumped by a dress.","nonsense",4.82645821571,1,"0_013","3","passive_ns",1,1,1
13,164.48,164.48,3,"Money was won by a team.","sense",4.22914409637,1,"0_013","3","passive_s",1,1,1
14,182.42,182.43,1,"The friend borrowed a book.","sense",4.32822299004,1,"0_013","3","active_s",1,1,1
15,193.7,193.71,2,"The lamp wrote to the nurse.","nonsense",5.05134296417,1,"0_013","3","active_ns",1,1,1
16,206.11,206.12,4,"A clown was bought by the hen.","nonsense",5.72272610664,1,"0_013","3","passive_ns",1,1,1
17,223.68,223.69,3,"The honey was made by a bee.","sense",4.18922591209,1,"0_013","3","passive_s",1,1,1
18,234.74,234.75,3,"Water was splashed by a bear.","sense",5.03902602196,1,"0_013","3","passive_s",1,1,1
19,250.08,250.09,2,"The seed raised a turtle.","sense",3.95272898674,0,"0_013","3","active_ns",1,0,1
20,260.45,260.46,3,"A barn was built by the uncle.","sense",5.91415095329,1,"0_013","3","passive_s",1,1,1
21,270.85,270.86,1,"The cowboy cooked some pasta.","sense",4.15626311302,1,"0_013","3","active_s",1,1,1
22,280.9,280.92,3,"A snake was caught by a girl.","sense",5.65849113464,1,"0_013","3","passive_s",1,1,1
23,293.63,293.64,2,"The soap tasted the monkey.","nonsense",5.98085594177,1,"0_013","3","active_ns",1,1,1
24,304.11,304.13,4,"A box was walked by a duck.","nonsense",3.72177290916,1,"0_013","3","passive_ns",1,1,1
25,314.89,314.9,1,"A brother opened the present.","sense",4.91955184937,1,"0_013","3","active_s",1,1,1
26,325.02,325.03,3,"Bread was picked by a boy.","nonsense",4.87465286255,0,"0_013","3","passive_s",1,0,1
27,339.56,339.57,2,"The zebra milked the show.","nonsense",4.10258793831,1,"0_013","3","active_ns",1,1,1
28,350.98,350.99,1,"The farmer owned a broom.","sense",4.57770395279,1,"0_013","3","active_s",1,1,1
29,368.12,368.14,4,"A queen was lost by a pen.","nonsense",3.96273112297,1,"0_013","3","passive_ns",1,1,1
30,380.08,380.09,3,"A hill was climbed by the bug.",NA,NA,4,"0_013","3","passive_s",1,0,1
31,395.78,395.8,2,"A pizza dropped the cousin.","nonsense",3.85816383362,1,"0_013","3","active_ns",1,1,1
0,0,0.03,4,"A test was cooked by a bat.","nonsense",3.74194121361,1,"0_025","1","passive_ns",1,1,1
0,0,0.03,4,"A test was cooked by a bat.","nonsense",5.38178014755,1,"0_025","1","passive_ns",0,0,1
1,10.89,10.91,2,"The broom grabbed the queen.","nonsense",3.00503492355,1,"0_025","1","active_ns",1,1,1
1,10.89,10.91,2,"The broom grabbed the queen.","nonsense",3.33693599701,1,"0_025","1","active_ns",0,0,1
1,10.89,10.91,2,"The broom grabbed the queen.","nonsense",3.65487289429,1,"0_025","1","active_ns",0,0,1
1,10.89,10.91,2,"The broom grabbed the queen.","nonsense",3.98101902008,1,"0_025","1","active_ns",0,0,1
1,10.89,10.91,2,"The broom grabbed the queen.","nonsense",4.30602383614,1,"0_025","1","active_ns",0,0,1
1,10.89,10.91,2,"The broom grabbed the queen.","nonsense",4.63196086884,1,"0_025","1","active_ns",0,0,1
1,10.89,10.91,2,"The broom grabbed the queen.","nonsense",4.95102500916,1,"0_025","1","active_ns",0,0,1
1,10.89,10.91,2,"The broom grabbed the queen.","nonsense",5.26892495155,1,"0_025","1","active_ns",0,0,1
2,21.08,21.09,3,"The shot was given by a nurse.","sense",2.59378910065,1,"0_025","1","passive_s",1,1,1
3,36.88,36.9,2,"A shirt chopped at the tray.","sense",5.94875311852,2,"0_025","1","active_ns",1,0,1
3,36.88,36.9,2,"A shirt chopped at the tray.","nonsense",6.10176110268,2,"0_025","1","active_ns",0,0,1
3,36.88,36.9,2,"A shirt chopped at the tray.","sense",6.92673516273,2,"0_025","1","active_ns",0,0,1
3,36.88,36.9,2,"A shirt chopped at the tray.","sense",7.16477108002,2,"0_025","1","active_ns",0,0,1
3,36.88,36.9,2,"A shirt chopped at the tray.","sense",7.45178103447,2,"0_025","1","active_ns",0,0,1
4,50.82,50.84,1,"The lion roared at the meat.","nonsense",2.55499386787,0,"0_025","1","active_s",1,0,1
4,50.82,50.84,1,"The lion roared at the meat.","nonsense",7.57909798622,0,"0_025","1","active_s",0,0,1
5,61.13,61.14,4,"The mirror was read by a car.","nonsense",3.66634893417,1,"0_025","1","passive_ns",1,1,1
6,75.94,75.95,3,"The grass was moved by wind.","nonsense",5.50343894958,2,"0_025","1","passive_s",1,0,1
6,75.94,75.95,3,"The grass was moved by wind.","sense",5.53830003738,2,"0_025","1","passive_s",0,0,1
7,87.72,87.74,3,"A hand was licked by a puppy.","sense",2.42645692825,1,"0_025","1","passive_s",1,1,1
8,99.72,99.73,4,"A song was picked by a cat.","sense",3.72852897644,2,"0_025","1","passive_ns",1,0,1
8,99.72,99.73,4,"A song was picked by a cat.","sense",4.5055129528,2,"0_025","1","passive_ns",0,0,1
8,99.72,99.73,4,"A song was picked by a cat.","nonsense",4.99157190323,2,"0_025","1","passive_ns",0,0,1
8,99.72,99.73,4,"A song was picked by a cat.","sense",5.1705520153,2,"0_025","1","passive_ns",0,0,1
8,99.72,99.73,4,"A song was picked by a cat.","sense",5.65650296211,2,"0_025","1","passive_ns",0,0,1
8,99.72,99.73,4,"A song was picked by a cat.","sense",5.84761095047,2,"0_025","1","passive_ns",0,0,1
9,111.38,111.4,4,"The dog was raised by a spoon.","sense",1.76966619492,2,"0_025","1","passive_ns",1,0,1
9,111.38,111.4,4,"The dog was raised by a spoon.","nonsense",2.08951807022,2,"0_025","1","passive_ns",0,0,1
9,111.38,111.4,4,"The dog was raised by a spoon.","nonsense",2.43160915375,2,"0_025","1","passive_ns",0,0,1
9,111.38,111.4,4,"The dog was raised by a spoon.","nonsense",2.67154812813,2,"0_025","1","passive_ns",0,0,1
9,111.38,111.4,4,"The dog was raised by a spoon.","nonsense",2.85653710365,2,"0_025","1","passive_ns",0,0,1
9,111.38,111.4,4,"The dog was raised by a spoon.","nonsense",3.04453396797,2,"0_025","1","passive_ns",0,0,1
9,111.38,111.4,4,"The dog was raised by a spoon.","nonsense",3.20726203918,2,"0_025","1","passive_ns",0,0,1
9,111.38,111.4,4,"The dog was raised by a spoon.","nonsense",3.35054898262,2,"0_025","1","passive_ns",0,0,1
10,122.22,122.23,1,"The worker built the barn.","sense",2.08501911163,1,"0_025","1","active_s",1,1,1
10,122.22,122.23,1,"The worker built the barn.","sense",4.24106907845,1,"0_025","1","active_s",0,0,1
11,134.13,134.14,2,"The table climbed on a brother.","nonsense",2.89844298363,1,"0_025","1","active_ns",1,1,1
12,146.54,146.54,2,"A game owned the doctor.","sense",4.42773509026,2,"0_025","1","active_ns",1,0,1
12,146.54,146.54,2,"A game owned the doctor.","nonsense",5.02278614044,2,"0_025","1","active_ns",0,0,1
12,146.54,146.54,2,"A game owned the doctor.","nonsense",5.27181005478,2,"0_025","1","active_ns",0,0,1
12,146.54,146.54,2,"A game owned the doctor.","nonsense",5.48678898811,2,"0_025","1","active_ns",0,0,1
12,146.54,146.54,2,"A game owned the doctor.","nonsense",5.6517739296,2,"0_025","1","active_ns",0,0,1
12,146.54,146.54,2,"A game owned the doctor.","nonsense",5.80174207687,2,"0_025","1","active_ns",0,0,1
12,146.54,146.54,2,"A game owned the doctor.","nonsense",5.98275208473,2,"0_025","1","active_ns",0,0,1
12,146.54,146.54,2,"A game owned the doctor.","nonsense",6.15273809433,2,"0_025","1","active_ns",0,0,1
13,158.49,158.5,3,"Tea was stirred by the aunt.","nonsense",4.58525705338,0,"0_025","1","passive_s",1,0,1
13,158.49,158.5,3,"Tea was stirred by the aunt.","nonsense",5.27926206589,0,"0_025","1","passive_s",0,0,1
14,169.83,169.84,1,"The chicken ate some seed.","sense",2.89168000221,1,"0_025","1","active_s",1,1,1
14,169.83,169.84,1,"The chicken ate some seed.","sense",6.5206489563,1,"0_025","1","active_s",0,0,1
15,179.98,179.99,1,"A woman bought a pizza.","sense",3.7416870594,1,"0_025","1","active_s",1,1,1
16,190.27,190.3,2,"The actress chased the sugar.","nonsense",4.2137389183,1,"0_025","1","active_ns",1,1,1
16,190.27,190.3,2,"The actress chased the sugar.","nonsense",5.55780291557,1,"0_025","1","active_ns",0,0,1
16,190.27,190.3,2,"The actress chased the sugar.","nonsense",5.86979484558,1,"0_025","1","active_ns",0,0,1
16,190.27,190.3,2,"The actress chased the sugar.","nonsense",6.15865087509,1,"0_025","1","active_ns",0,0,1
16,190.27,190.3,2,"The actress chased the sugar.","nonsense",6.47979307175,1,"0_025","1","active_ns",0,0,1
16,190.27,190.3,2,"The actress chased the sugar.","nonsense",6.77679204941,1,"0_025","1","active_ns",0,0,1
17,200.64,200.65,3,"A worm was dropped by the bird.","sense",6.13282799721,1,"0_025","1","passive_s",1,1,1
17,200.64,200.65,3,"A worm was dropped by the bird.","sense",7.86187314987,1,"0_025","1","passive_s",0,0,1
17,200.64,200.65,3,"A worm was dropped by the bird.","sense",8.14577507973,1,"0_025","1","passive_s",0,0,1
18,215.75,215.76,1,"The father played the movie.","sense",1.93288588524,1,"0_025","1","active_s",1,1,1
19,225.84,225.84,3,"A gift was opened by a boy.","nonsense",2.47056007385,2,"0_025","1","passive_s",1,0,1
19,225.84,225.84,3,"A gift was opened by a boy.","sense",2.73662900925,2,"0_025","1","passive_s",0,0,1
19,225.84,225.84,3,"A gift was opened by a boy.","sense",3.3676841259,2,"0_025","1","passive_s",0,0,1
19,225.84,225.84,3,"A gift was opened by a boy.","sense",3.56279802322,2,"0_025","1","passive_s",0,0,1
19,225.84,225.84,3,"A gift was opened by a boy.","sense",7.01090693474,2,"0_025","1","passive_s",0,0,1
20,235.87,235.88,1,"The sheep escaped from the wolf.","sense",2.40654087067,1,"0_025","1","active_s",1,1,1
20,235.87,235.88,1,"The sheep escaped from the wolf.","sense",3.60757803917,1,"0_025","1","active_s",0,0,1
21,247.77,247.79,2,"The pillow jumped at a bear.","nonsense",3.16497993469,1,"0_025","1","active_ns",1,1,1
21,247.77,247.79,2,"The pillow jumped at a bear.","nonsense",4.31600189209,1,"0_025","1","active_ns",0,0,1
21,247.77,247.79,2,"The pillow jumped at a bear.","nonsense",4.64004087448,1,"0_025","1","active_ns",0,0,1
21,247.77,247.79,2,"The pillow jumped at a bear.","nonsense",4.97607588768,1,"0_025","1","active_ns",0,0,1
21,247.77,247.79,2,"The pillow jumped at a bear.","nonsense",5.33606696129,1,"0_025","1","active_ns",0,0,1
21,247.77,247.79,2,"The pillow jumped at a bear.","nonsense",5.62604594231,1,"0_025","1","active_ns",0,0,1
21,247.77,247.79,2,"The pillow jumped at a bear.","nonsense",5.9710919857,1,"0_025","1","active_ns",0,0,1
21,247.77,247.79,2,"The pillow jumped at a bear.","nonsense",6.26799488068,1,"0_025","1","active_ns",0,0,1
21,247.77,247.79,2,"The pillow jumped at a bear.","nonsense",6.52808785439,1,"0_025","1","active_ns",0,0,1
22,257.97,257.99,3,"A pig was scared by a fox.","nonsense",3.55817604065,2,"0_025","1","passive_s",1,0,1
22,257.97,257.99,3,"A pig was scared by a fox.","sense",7.20838785172,2,"0_025","1","passive_s",0,0,1
22,257.97,257.99,3,"A pig was scared by a fox.","sense",7.42429304123,2,"0_025","1","passive_s",0,0,1
22,257.97,257.99,3,"A pig was scared by a fox.","sense",7.60928106308,2,"0_025","1","passive_s",0,0,1
22,257.97,257.99,3,"A pig was scared by a fox.","sense",8.72735786438,2,"0_025","1","passive_s",0,0,1
23,268.09,268.09,3,"A wall was marked with paint.","nonsense",2.91622281075,0,"0_025","1","passive_s",1,0,1
23,268.09,268.09,3,"A wall was marked with paint.","nonsense",4.33916401863,0,"0_025","1","passive_s",0,0,1
24,280.16,280.17,1,"The cattle listened to the bell.","nonsense",6.1991789341,0,"0_025","1","active_s",1,0,1
25,296.87,296.89,4,"The phone was boiled by a rat.","nonsense",3.78295898438,1,"0_025","1","passive_ns",1,1,1
25,296.87,296.89,4,"The phone was boiled by a rat.","nonsense",4.82904601097,1,"0_025","1","passive_ns",0,0,1
26,312.85,312.86,2,"A ring prepared for a potato.","nonsense",5.41926002502,1,"0_025","1","active_ns",1,1,1
